Bujur,Lintang,Kepercayaan,Region,Provinsi,Kabupaten,Kecamatan,Satelit,Tanggal,Waktu
119.7712,-9.7021,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,LEWA,NOAA20,2020-08-02,05:42:36.000000
119.8627,-9.6267,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,LEWA,NOAA20,2020-08-02,05:42:36.000000
119.8563,-9.6129,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,LEWA,NOAA20,2020-08-02,05:42:36.000000
120.2611,-9.9639,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,PABERIWAI,SNPP,2020-08-02,04:52:50.000000
120.2387,-10.1802,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,PABERIWAI,NOAA20,2020-08-02,05:42:36.000000
120.2195,-9.9250,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,PABERIWAI,NOAA20,2020-08-02,05:42:36.000000
120.0311,-9.8428,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,PANDAWAI,NOAA20,2020-08-02,05:42:36.000000
120.0405,-9.9254,9,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,SNPP,2020-08-02,04:52:50.000000
120.0412,-9.9250,9,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,SNPP,2020-08-02,04:52:50.000000
120.0379,-9.9255,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,SNPP,2020-08-02,04:52:50.000000
120.1105,-9.8938,9,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,SNPP,2020-08-02,04:52:50.000000
120.1141,-9.8934,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,SNPP,2020-08-02,04:52:50.000000
120.0272,-9.8656,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,SNPP,2020-08-02,04:52:50.000000
120.0624,-9.9315,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,NOAA20,2020-08-02,05:42:36.000000
120.0607,-9.9206,7,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,NOAA20,2020-08-02,05:42:36.000000
120.1182,-9.8964,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,NOAA20,2020-08-02,05:42:36.000000
120.0657,-9.8713,7,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,NOAA20,2020-08-02,05:42:36.000000
120.0301,-9.8660,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,NOAA20,2020-08-02,05:42:36.000000
124.6878,-9.2129,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH UTARA,KAKULUK MESAK,SNPP,2020-08-02,04:52:50.000000
124.7503,-9.1762,8,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH UTARA,KAKULUK MESAK,SNPP,2020-08-02,04:52:50.000000
124.7529,-9.1764,7,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH UTARA,KAKULUK MESAK,SNPP,2020-08-02,04:52:50.000000
124.5634,-9.2544,7,KEPULAUAN NUSA TENGGARA,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH UTARA,PEMBANTU INSANA,SNPP,2020-08-02,04:52:50.000000
138.7958,-6.1763,8,PAPUA,PAPUA,KAB. ASMAT,DERKOMOR,NOAA20,2020-08-02,04:03:01.000000
138.7348,-6.3362,8,PAPUA,PAPUA,KAB. ASMAT,KOPAY,SNPP,2020-08-02,04:52:50.000000
138.7338,-6.3337,8,PAPUA,PAPUA,KAB. ASMAT,KOPAY,SNPP,2020-08-02,04:52:50.000000
138.6605,-6.2393,8,PAPUA,PAPUA,KAB. ASMAT,PANTAI KASUARI,NOAA20,2020-08-02,04:03:01.000000
140.7287,-7.4698,8,PAPUA,PAPUA,KAB. MERAUKE,ELIKOBEL,NOAA20,2020-08-02,04:03:01.000000
140.6806,-8.1852,8,PAPUA,PAPUA,KAB. MERAUKE,JAGEBOB,NOAA20,2020-08-02,04:01:36.000000
140.7288,-8.1439,8,PAPUA,PAPUA,KAB. MERAUKE,JAGEBOB,NOAA20,2020-08-02,04:01:36.000000
140.1545,-8.3117,8,PAPUA,PAPUA,KAB. MERAUKE,MALIND,NOAA20,2020-08-02,04:01:36.000000
140.0930,-8.2757,8,PAPUA,PAPUA,KAB. MERAUKE,MALIND,NOAA20,2020-08-02,04:01:36.000000
140.5411,-8.6329,8,PAPUA,PAPUA,KAB. MERAUKE,MERAUKE,NOAA20,2020-08-02,04:01:36.000000
140.5442,-8.6290,8,PAPUA,PAPUA,KAB. MERAUKE,MERAUKE,NOAA20,2020-08-02,04:01:36.000000
140.4779,-8.5820,9,PAPUA,PAPUA,KAB. MERAUKE,MERAUKE,NOAA20,2020-08-02,04:01:36.000000
140.4743,-8.5826,8,PAPUA,PAPUA,KAB. MERAUKE,MERAUKE,NOAA20,2020-08-02,04:01:36.000000
140.4770,-8.5818,8,PAPUA,PAPUA,KAB. MERAUKE,MERAUKE,SNPP,2020-08-02,04:52:50.000000
140.4753,-8.5819,8,PAPUA,PAPUA,KAB. MERAUKE,MERAUKE,SNPP,2020-08-02,04:52:50.000000
140.7562,-8.9093,8,PAPUA,PAPUA,KAB. MERAUKE,NAUKENJERAI,NOAA20,2020-08-02,04:01:36.000000
140.7235,-8.8673,8,PAPUA,PAPUA,KAB. MERAUKE,NAUKENJERAI,NOAA20,2020-08-02,04:01:36.000000
140.8255,-8.7940,7,PAPUA,PAPUA,KAB. MERAUKE,NAUKENJERAI,NOAA20,2020-08-02,04:01:36.000000
140.8215,-8.7911,8,PAPUA,PAPUA,KAB. MERAUKE,NAUKENJERAI,NOAA20,2020-08-02,04:01:36.000000
140.7547,-8.7132,8,PAPUA,PAPUA,KAB. MERAUKE,NAUKENJERAI,NOAA20,2020-08-02,04:01:36.000000
140.7578,-8.7093,8,PAPUA,PAPUA,KAB. MERAUKE,NAUKENJERAI,NOAA20,2020-08-02,04:01:36.000000
140.7542,-8.7098,8,PAPUA,PAPUA,KAB. MERAUKE,NAUKENJERAI,NOAA20,2020-08-02,04:01:36.000000
140.6614,-8.6528,8,PAPUA,PAPUA,KAB. MERAUKE,NAUKENJERAI,NOAA20,2020-08-02,04:01:36.000000
140.7541,-8.7123,8,PAPUA,PAPUA,KAB. MERAUKE,NAUKENJERAI,SNPP,2020-08-02,04:52:50.000000
139.3977,-8.1717,8,PAPUA,PAPUA,KAB. MERAUKE,OKABA,NOAA20,2020-08-02,04:01:36.000000
140.8298,-8.4680,8,PAPUA,PAPUA,KAB. MERAUKE,SOTA,NOAA20,2020-08-02,04:01:36.000000
138.8732,-7.5082,8,PAPUA,PAPUA,KAB. MERAUKE,TABONJI,NOAA20,2020-08-02,04:03:01.000000
138.5244,-7.5080,8,PAPUA,PAPUA,KAB. MERAUKE,TABONJI,NOAA20,2020-08-02,04:03:01.000000
137.8074,-8.1977,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,TERRA,2020-08-02,01:45:00
137.8055,-8.2139,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,TERRA,2020-08-02,01:45:00
137.7992,-8.2049,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,TERRA,2020-08-02,01:45:00
137.8328,-8.2089,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,TERRA,2020-08-02,01:45:00
137.7932,-8.2535,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,TERRA,2020-08-02,01:45:00
137.7874,-8.2609,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,TERRA,2020-08-02,01:45:00
137.7898,-8.2610,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,AQUA,2020-08-02,04:40:00
138.1122,-8.3356,7,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7869,-8.2776,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7864,-8.2738,7,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7945,-8.2649,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7899,-8.2656,7,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7940,-8.2611,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7935,-8.2574,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7929,-8.2536,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7883,-8.2542,7,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7970,-8.2492,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7924,-8.2498,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7878,-8.2505,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7964,-8.2454,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7918,-8.2460,7,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7872,-8.2467,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7826,-8.2473,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.8005,-8.2410,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7959,-8.2416,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7867,-8.2429,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7913,-8.2423,7,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7999,-8.2372,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7953,-8.2378,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7861,-8.2391,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7948,-8.2341,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7937,-8.2265,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7891,-8.2272,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7932,-8.2227,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.8110,-8.2164,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7972,-8.2183,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.8046,-8.2285,7,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7909,-8.2305,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7903,-8.2267,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7944,-8.2223,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.8122,-8.2158,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.7984,-8.2178,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.8111,-8.2083,7,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:01:36.000000
137.9221,-7.9568,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,NOAA20,2020-08-02,04:03:01.000000
138.1094,-8.3340,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.7747,-8.2855,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.7957,-8.2606,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.7926,-8.2612,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.7917,-8.2560,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.7939,-8.2504,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.7859,-8.2412,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.7925,-8.2241,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.8189,-8.1928,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.8207,-8.1961,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
137.8198,-8.1910,8,PAPUA,PAPUA,KAB. MERAUKE,WAAN,SNPP,2020-08-02,04:52:50.000000
119.5567,-5.2876,8,SULAWESI,SULAWESI SELATAN,KAB. GOWA,BONTOMARANNU,NOAA20,2020-08-02,05:44:02.000000
119.5859,-3.5824,9,SULAWESI,SULAWESI SELATAN,KAB. PINRANG,DUAMPANUA,SNPP,2020-08-02,04:54:16.000000
119.5877,-3.5859,8,SULAWESI,SULAWESI SELATAN,KAB. PINRANG,DUAMPANUA,SNPP,2020-08-02,04:54:16.000000
119.5844,-3.5864,8,SULAWESI,SULAWESI SELATAN,KAB. PINRANG,DUAMPANUA,SNPP,2020-08-02,04:54:16.000000
119.5867,-3.5861,8,SULAWESI,SULAWESI SELATAN,KAB. PINRANG,DUAMPANUA,NOAA20,2020-08-02,05:45:27.000000
122.5897,-4.9511,8,SULAWESI,SULAWESI TENGGARA,KAB. MUNA BARAT,WADAGA,SNPP,2020-08-02,04:54:16.000000
102.4604,-3.6039,8,SUMATERA,BENGKULU,KAB. BENGKULU TENGAH,PAGAR JATI,SNPP,2020-08-02,06:35:16.000000
102.4373,-3.6580,8,SUMATERA,BENGKULU,KAB. BENGKULU TENGAH,TABAPENANJUNG,SNPP,2020-08-02,06:35:16.000000
102.2040,-3.4837,8,SUMATERA,BENGKULU,KAB. BENGKULU UTARA,ARGA MAKMUR,SNPP,2020-08-02,06:35:16.000000
102.2035,-3.4804,8,SUMATERA,BENGKULU,KAB. BENGKULU UTARA,ARGA MAKMUR,SNPP,2020-08-02,06:35:16.000000
101.9327,-3.1128,8,SUMATERA,BENGKULU,KAB. BENGKULU UTARA,KETAHUN,SNPP,2020-08-02,06:35:16.000000
101.9292,-3.1134,8,SUMATERA,BENGKULU,KAB. BENGKULU UTARA,KETAHUN,SNPP,2020-08-02,06:35:16.000000
101.9317,-3.1062,8,SUMATERA,BENGKULU,KAB. BENGKULU UTARA,KETAHUN,SNPP,2020-08-02,06:35:16.000000
101.7044,-3.0697,8,SUMATERA,BENGKULU,KAB. BENGKULU UTARA,KETAHUN,SNPP,2020-08-02,06:35:16.000000
101.7039,-3.0664,8,SUMATERA,BENGKULU,KAB. BENGKULU UTARA,KETAHUN,SNPP,2020-08-02,06:35:16.000000
102.0624,-3.4650,8,SUMATERA,BENGKULU,KAB. BENGKULU UTARA,LAIS,SNPP,2020-08-02,06:35:16.000000
101.3439,-2.5085,8,SUMATERA,BENGKULU,KAB. MUKO-MUKO,MUKO MUKO UTARA,SNPP,2020-08-02,06:36:41.000000
101.2831,-2.5142,8,SUMATERA,BENGKULU,KAB. MUKO-MUKO,MUKO MUKO UTARA,SNPP,2020-08-02,06:36:41.000000
102.6116,-3.3916,8,SUMATERA,BENGKULU,KAB. REJANG LEBONG,CURUP,SNPP,2020-08-02,06:35:16.000000
102.9939,-3.3888,8,SUMATERA,BENGKULU,KAB. REJANG LEBONG,KOTA PADANG,NOAA20,2020-08-02,05:45:27.000000
102.9930,-3.3898,8,SUMATERA,BENGKULU,KAB. REJANG LEBONG,KOTA PADANG,NOAA20,2020-08-02,05:45:27.000000
102.9275,-3.5364,8,SUMATERA,BENGKULU,KAB. REJANG LEBONG,PADANG ULAK TANDING,SNPP,2020-08-02,06:35:16.000000
102.7719,-4.1887,8,SUMATERA,BENGKULU,KAB. SELUMA,SEMIDANG ALAS,SNPP,2020-08-02,06:35:16.000000
102.7961,-4.1612,8,SUMATERA,BENGKULU,KAB. SELUMA,SEMIDANG ALAS,SNPP,2020-08-02,06:35:16.000000
102.5096,-4.0087,8,SUMATERA,BENGKULU,KAB. SELUMA,SUKARAJA,SNPP,2020-08-02,06:35:16.000000
102.2759,-3.7947,7,SUMATERA,BENGKULU,KOTA BENGKULU,GADING CEMPAKA,TERRA,2020-08-02,03:25:00
102.9368,-1.8004,8,SUMATERA,JAMBI,KAB. BATANGHARI,BATIN XXIV,AQUA,2020-08-02,06:17:00
102.8069,-1.7850,8,SUMATERA,JAMBI,KAB. BATANGHARI,BATIN XXIV,NOAA20,2020-08-02,05:45:27.000000
102.1680,-1.7527,8,SUMATERA,JAMBI,KAB. BUNGO,MUARA BUNGO,SNPP,2020-08-02,06:36:41.000000
102.5024,-2.1276,8,SUMATERA,JAMBI,KAB. MERANGIN,BANGKO,SNPP,2020-08-02,06:36:41.000000
102.2496,-2.0475,8,SUMATERA,JAMBI,KAB. MERANGIN,BANGKO,SNPP,2020-08-02,06:36:41.000000
102.0997,-2.3993,8,SUMATERA,JAMBI,KAB. MERANGIN,JANGKAT,NOAA20,2020-08-02,05:45:27.000000
102.0757,-2.3614,8,SUMATERA,JAMBI,KAB. MERANGIN,JANGKAT,SNPP,2020-08-02,06:36:41.000000
102.1065,-2.3983,8,SUMATERA,JAMBI,KAB. MERANGIN,MUARA SIAU,NOAA20,2020-08-02,05:45:27.000000
102.1031,-2.3976,8,SUMATERA,JAMBI,KAB. MERANGIN,MUARA SIAU,SNPP,2020-08-02,06:36:41.000000
102.1026,-2.3943,8,SUMATERA,JAMBI,KAB. MERANGIN,MUARA SIAU,SNPP,2020-08-02,06:36:41.000000
102.0130,-2.0739,8,SUMATERA,JAMBI,KAB. MERANGIN,SUNGAI MANAU,SNPP,2020-08-02,06:36:41.000000
102.0228,-2.0690,8,SUMATERA,JAMBI,KAB. MERANGIN,SUNGAI MANAU,SNPP,2020-08-02,06:36:41.000000
102.5986,-2.3723,8,SUMATERA,JAMBI,KAB. SAROLANGUN,LIMUN,AQUA,2020-08-02,06:17:00
102.6037,-2.3692,8,SUMATERA,JAMBI,KAB. SAROLANGUN,LIMUN,SNPP,2020-08-02,06:36:41.000000
102.5795,-2.3491,8,SUMATERA,JAMBI,KAB. SAROLANGUN,LIMUN,SNPP,2020-08-02,06:36:41.000000
102.8496,-2.1963,8,SUMATERA,JAMBI,KAB. SAROLANGUN,PAUH,SNPP,2020-08-02,06:36:41.000000
103.0597,-2.0870,8,SUMATERA,JAMBI,KAB. SAROLANGUN,PAUH,SNPP,2020-08-02,06:36:41.000000
102.7569,-2.0146,8,SUMATERA,JAMBI,KAB. SAROLANGUN,PAUH,SNPP,2020-08-02,06:36:41.000000
102.7909,-2.5264,8,SUMATERA,JAMBI,KAB. SAROLANGUN,SAROLANGUN,SNPP,2020-08-02,06:35:16.000000
102.7875,-2.5269,8,SUMATERA,JAMBI,KAB. SAROLANGUN,SAROLANGUN,SNPP,2020-08-02,06:35:16.000000
102.9021,-0.8991,7,SUMATERA,JAMBI,KAB. TANJUNG JABUNG BARAT,TUNGKALULU,TERRA,2020-08-02,03:25:00
102.8363,-1.0226,8,SUMATERA,JAMBI,KAB. TANJUNG JABUNG BARAT,TUNGKALULU,SNPP,2020-08-02,06:36:41.000000
105.9235,-2.1757,9,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA,MENDO BARAT,AQUA,2020-08-02,06:17:00
105.9133,-2.1771,9,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA,MENDO BARAT,AQUA,2020-08-02,06:17:00
105.9301,-2.2060,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA,MENDO BARAT,NOAA20,2020-08-02,05:45:27.000000
105.9222,-2.1745,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA,MENDO BARAT,NOAA20,2020-08-02,05:45:27.000000
105.9188,-2.1750,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA,MENDO BARAT,NOAA20,2020-08-02,05:45:27.000000
105.9178,-2.1705,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA,MENDO BARAT,SNPP,2020-08-02,06:35:16.000000
105.8327,-2.0633,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA,PUDING BESAR,AQUA,2020-08-02,06:17:00
105.7950,-2.0197,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA,PUDING BESAR,AQUA,2020-08-02,06:17:00
106.0172,-1.6959,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA,RIAUSILIP,SNPP,2020-08-02,06:36:41.000000
105.5954,-1.6481,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,JEBUS,AQUA,2020-08-02,06:17:00
105.5850,-1.6496,9,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,JEBUS,AQUA,2020-08-02,06:17:00
105.4754,-1.6356,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,JEBUS,AQUA,2020-08-02,06:17:00
105.5897,-1.6493,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,JEBUS,NOAA20,2020-08-02,05:45:27.000000
105.5890,-1.6439,7,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,JEBUS,NOAA20,2020-08-02,05:45:27.000000
105.6194,-1.7695,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,JEBUS,SNPP,2020-08-02,06:36:41.000000
105.4292,-1.6424,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,JEBUS,SNPP,2020-08-02,06:36:41.000000
105.6575,-1.7739,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,KELAPA,AQUA,2020-08-02,06:17:00
105.5557,-1.9249,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,KELAPA,SNPP,2020-08-02,06:36:41.000000
105.5488,-1.9073,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,KELAPA,SNPP,2020-08-02,06:36:41.000000
105.6587,-1.7709,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,KELAPA,SNPP,2020-08-02,06:36:41.000000
105.6545,-1.7715,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,KELAPA,SNPP,2020-08-02,06:36:41.000000
105.2291,-1.9558,9,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,MUNTOK,AQUA,2020-08-02,06:17:00
105.2180,-1.9574,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,MUNTOK,AQUA,2020-08-02,06:17:00
105.2303,-1.9617,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,MUNTOK,NOAA20,2020-08-02,05:45:27.000000
105.2267,-1.9623,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,MUNTOK,NOAA20,2020-08-02,05:45:27.000000
105.2296,-1.9561,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,MUNTOK,NOAA20,2020-08-02,05:45:27.000000
105.2259,-1.9567,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,MUNTOK,NOAA20,2020-08-02,05:45:27.000000
105.2282,-1.9606,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,MUNTOK,SNPP,2020-08-02,06:36:41.000000
105.2109,-1.9559,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA BARAT,MUNTOK,SNPP,2020-08-02,06:36:41.000000
106.1367,-2.5470,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,TERRA,2020-08-02,03:25:00
106.0870,-2.5688,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,AQUA,2020-08-02,06:17:00
106.0768,-2.5703,9,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,AQUA,2020-08-02,06:17:00
106.1549,-2.5398,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,AQUA,2020-08-02,06:17:00
106.2056,-2.6508,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,SNPP,2020-08-02,06:35:16.000000
106.0810,-2.5659,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,SNPP,2020-08-02,06:35:16.000000
106.0805,-2.5622,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,SNPP,2020-08-02,06:35:16.000000
106.1580,-2.5386,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,SNPP,2020-08-02,06:35:16.000000
106.1852,-2.5381,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA TENGAH,KOBA,SNPP,2020-08-02,06:35:16.000000
106.1952,-2.5136,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA TENGAH,KOBA,SNPP,2020-08-02,06:35:16.000000
106.1946,-2.5098,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA TENGAH,KOBA,SNPP,2020-08-02,06:35:16.000000
106.1958,-2.5127,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA TENGAH,KOBA,SNPP,2020-08-02,06:35:16.000000
106.1485,-2.5009,8,SUMATERA,KEP. BANGKA BELITUNG,KAB. BANGKA TENGAH,KOBA,SNPP,2020-08-02,06:35:16.000000
